index,Quarter,AdmissionType,SpecialtyName,Episodes,LengthOfEpisode,Stays,LengthOfStay,HBName,LocationName
11495,2018Q3,Emergency Inpatients,Respiratory Medicine,5,16,15,75,NHS Lanarkshire,University Hospital Wishaw
11496,2018Q4,Emergency Inpatients,Respiratory Medicine,5,20,70,440,NHS Lanarkshire,University Hospital Wishaw
11497,2019Q1,Emergency Inpatients,Respiratory Medicine,10,15,105,530,NHS Lanarkshire,University Hospital Wishaw
11498,2019Q2,Emergency Inpatients,Respiratory Medicine,0,15,35,170,NHS Lanarkshire,University Hospital Wishaw
11499,2019Q3,Emergency Inpatients,Respiratory Medicine,5,27,5,50,NHS Lanarkshire,University Hospital Wishaw
11500,2014Q4,Emergency Inpatients,Rheumatology,5,24,10,53,NHS Lanarkshire,University Hospital Wishaw
11501,2015Q1,Emergency Inpatients,Rheumatology,5,10,5,40,NHS Lanarkshire,University Hospital Wishaw
11502,2015Q2,Emergency Inpatients,Rheumatology,5,52,5,52,NHS Lanarkshire,University Hospital Wishaw
11503,2015Q3,Emergency Inpatients,Rheumatology,5,45,15,75,NHS Lanarkshire,University Hospital Wishaw
11504,2015Q4,Emergency Inpatients,Rheumatology,5,133,5,135,NHS Lanarkshire,University Hospital Wishaw
11505,2016Q1,Emergency Inpatients,Rheumatology,10,30,15,70,NHS Lanarkshire,University Hospital Wishaw
11506,2016Q2,Emergency Inpatients,Rheumatology,0,25,15,130,NHS Lanarkshire,University Hospital Wishaw
11507,2016Q3,Emergency Inpatients,Rheumatology,5,81,10,82,NHS Lanarkshire,University Hospital Wishaw
11508,2016Q4,Emergency Inpatients,Rheumatology,5,15,10,61,NHS Lanarkshire,University Hospital Wishaw
11509,2017Q1,Emergency Inpatients,Rheumatology,0,19,10,150,NHS Lanarkshire,University Hospital Wishaw
11510,2017Q2,Emergency Inpatients,Rheumatology,5,43,15,134,NHS Lanarkshire,University Hospital Wishaw
11511,2017Q3,Emergency Inpatients,Rheumatology,5,0,15,90,NHS Lanarkshire,University Hospital Wishaw
11512,2017Q4,Emergency Inpatients,Rheumatology,0,10,10,85,NHS Lanarkshire,University Hospital Wishaw
11513,2018Q1,Emergency Inpatients,Rheumatology,5,33,10,117,NHS Lanarkshire,University Hospital Wishaw
11514,2018Q2,Emergency Inpatients,Rheumatology,5,10,10,28,NHS Lanarkshire,University Hospital Wishaw
11515,2018Q3,Emergency Inpatients,Rheumatology,0,0,5,10,NHS Lanarkshire,University Hospital Wishaw
11516,2018Q4,Emergency Inpatients,Rheumatology,10,5,15,50,NHS Lanarkshire,University Hospital Wishaw
11517,2019Q1,Emergency Inpatients,Rheumatology,5,5,10,65,NHS Lanarkshire,University Hospital Wishaw
11518,2019Q2,Emergency Inpatients,Rheumatology,5,12,15,55,NHS Lanarkshire,University Hospital Wishaw
11519,2019Q3,Emergency Inpatients,Rheumatology,0,0,5,60,NHS Lanarkshire,University Hospital Wishaw
11520,2014Q4,Emergency Inpatients,General Surgery,967,3163,1003,5191,NHS Lanarkshire,University Hospital Wishaw
11521,2015Q1,Emergency Inpatients,General Surgery,997,2847,1032,4374,NHS Lanarkshire,University Hospital Wishaw
11522,2015Q2,Emergency Inpatients,General Surgery,963,3265,992,4474,NHS Lanarkshire,University Hospital Wishaw
11523,2015Q3,Emergency Inpatients,General Surgery,944,3008,1017,4823,NHS Lanarkshire,University Hospital Wishaw
11524,2015Q4,Emergency Inpatients,General Surgery,944,3249,999,4640,NHS Lanarkshire,University Hospital Wishaw
11525,2016Q1,Emergency Inpatients,General Surgery,1132,3638,1178,4746,NHS Lanarkshire,University Hospital Wishaw
11526,2016Q2,Emergency Inpatients,General Surgery,1028,3145,1075,4148,NHS Lanarkshire,University Hospital Wishaw
11527,2016Q3,Emergency Inpatients,General Surgery,1083,3453,1133,5153,NHS Lanarkshire,University Hospital Wishaw
11528,2016Q4,Emergency Inpatients,General Surgery,1102,3939,1158,5865,NHS Lanarkshire,University Hospital Wishaw
11529,2017Q1,Emergency Inpatients,General Surgery,1065,3734,1105,5190,NHS Lanarkshire,University Hospital Wishaw
11530,2017Q2,Emergency Inpatients,General Surgery,1161,3800,1214,6216,NHS Lanarkshire,University Hospital Wishaw
11531,2017Q3,Emergency Inpatients,General Surgery,1175,3119,1212,4351,NHS Lanarkshire,University Hospital Wishaw
11532,2017Q4,Emergency Inpatients,General Surgery,1091,3175,1135,4085,NHS Lanarkshire,University Hospital Wishaw
11533,2018Q1,Emergency Inpatients,General Surgery,1032,3173,1069,4017,NHS Lanarkshire,University Hospital Wishaw
11534,2018Q2,Emergency Inpatients,General Surgery,1048,2843,1103,4482,NHS Lanarkshire,University Hospital Wishaw
11535,2018Q3,Emergency Inpatients,General Surgery,1119,3455,1166,4224,NHS Lanarkshire,University Hospital Wishaw
11536,2018Q4,Emergency Inpatients,General Surgery,1055,3344,1107,4591,NHS Lanarkshire,University Hospital Wishaw
11537,2019Q1,Emergency Inpatients,General Surgery,1224,2742,1272,3885,NHS Lanarkshire,University Hospital Wishaw
11538,2019Q2,Emergency Inpatients,General Surgery,1187,2187,1246,3851,NHS Lanarkshire,University Hospital Wishaw
11539,2019Q3,Emergency Inpatients,General Surgery,1192,2377,1239,4168,NHS Lanarkshire,University Hospital Wishaw
11540,2014Q4,Emergency Inpatients,Anaesthetics,20,55,44,412,NHS Lanarkshire,University Hospital Wishaw
11541,2015Q1,Emergency Inpatients,Anaesthetics,25,50,51,355,NHS Lanarkshire,University Hospital Wishaw
11542,2015Q2,Emergency Inpatients,Anaesthetics,30,35,49,315,NHS Lanarkshire,University Hospital Wishaw
11543,2015Q3,Emergency Inpatients,Anaesthetics,20,20,50,376,NHS Lanarkshire,University Hospital Wishaw
11544,2015Q4,Emergency Inpatients,Anaesthetics,25,47,50,289,NHS Lanarkshire,University Hospital Wishaw
11545,2016Q1,Emergency Inpatients,Anaesthetics,30,43,56,371,NHS Lanarkshire,University Hospital Wishaw
11546,2016Q2,Emergency Inpatients,Anaesthetics,25,48,33,191,NHS Lanarkshire,University Hospital Wishaw
11547,2016Q3,Emergency Inpatients,Anaesthetics,20,57,35,144,NHS Lanarkshire,University Hospital Wishaw
11548,2016Q4,Emergency Inpatients,Anaesthetics,30,99,36,461,NHS Lanarkshire,University Hospital Wishaw
11549,2017Q1,Emergency Inpatients,Anaesthetics,25,74,28,153,NHS Lanarkshire,University Hospital Wishaw
11550,2017Q2,Emergency Inpatients,Anaesthetics,27,80,35,195,NHS Lanarkshire,University Hospital Wishaw
11551,2017Q3,Emergency Inpatients,Anaesthetics,34,90,45,352,NHS Lanarkshire,University Hospital Wishaw
11552,2017Q4,Emergency Inpatients,Anaesthetics,40,94,54,239,NHS Lanarkshire,University Hospital Wishaw
11553,2018Q1,Emergency Inpatients,Anaesthetics,30,105,48,342,NHS Lanarkshire,University Hospital Wishaw
11554,2018Q2,Emergency Inpatients,Anaesthetics,35,140,40,234,NHS Lanarkshire,University Hospital Wishaw
11555,2018Q3,Emergency Inpatients,Anaesthetics,40,137,50,255,NHS Lanarkshire,University Hospital Wishaw
11556,2018Q4,Emergency Inpatients,Anaesthetics,30,117,44,271,NHS Lanarkshire,University Hospital Wishaw
11557,2019Q1,Emergency Inpatients,Anaesthetics,39,155,50,301,NHS Lanarkshire,University Hospital Wishaw
11558,2019Q2,Emergency Inpatients,Anaesthetics,35,133,51,249,NHS Lanarkshire,University Hospital Wishaw
11559,2019Q3,Emergency Inpatients,Anaesthetics,25,78,46,212,NHS Lanarkshire,University Hospital Wishaw
11560,2014Q4,Emergency Inpatients,"Ear, Nose & Throat (ENT)",5,0,5,8,NHS Lanarkshire,University Hospital Wishaw
11561,2015Q1,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,5,0,6,NHS Lanarkshire,University Hospital Wishaw
11562,2015Q2,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,10,10,360,NHS Lanarkshire,University Hospital Wishaw
11563,2015Q3,Emergency Inpatients,"Ear, Nose & Throat (ENT)",5,0,5,91,NHS Lanarkshire,University Hospital Wishaw
11564,2015Q4,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,0,0,NHS Lanarkshire,University Hospital Wishaw
11565,2016Q1,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,5,5,NHS Lanarkshire,University Hospital Wishaw
11566,2016Q2,Emergency Inpatients,"Ear, Nose & Throat (ENT)",5,0,5,5,NHS Lanarkshire,University Hospital Wishaw
11567,2016Q4,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,5,6,NHS Lanarkshire,University Hospital Wishaw
11568,2017Q2,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,5,80,NHS Lanarkshire,University Hospital Wishaw
11569,2017Q3,Emergency Inpatients,"Ear, Nose & Throat (ENT)",5,5,10,117,NHS Lanarkshire,University Hospital Wishaw
11570,2018Q1,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,5,73,NHS Lanarkshire,University Hospital Wishaw
11571,2018Q2,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,10,99,NHS Lanarkshire,University Hospital Wishaw
11572,2018Q3,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,5,0,NHS Lanarkshire,University Hospital Wishaw
11573,2019Q1,Emergency Inpatients,"Ear, Nose & Throat (ENT)",5,0,10,50,NHS Lanarkshire,University Hospital Wishaw
11574,2019Q2,Emergency Inpatients,"Ear, Nose & Throat (ENT)",0,0,10,74,NHS Lanarkshire,University Hospital Wishaw
11575,2019Q3,Emergency Inpatients,"Ear, Nose & Throat (ENT)",5,0,10,11,NHS Lanarkshire,University Hospital Wishaw
11576,2015Q4,Emergency Inpatients,Ophthalmology,0,0,0,5,NHS Lanarkshire,University Hospital Wishaw
11577,2014Q4,Emergency Inpatients,Trauma and Orthopaedic Surgery,443,2290,465,4441,NHS Lanarkshire,University Hospital Wishaw
11578,2015Q1,Emergency Inpatients,Trauma and Orthopaedic Surgery,423,2404,442,4142,NHS Lanarkshire,University Hospital Wishaw
11579,2015Q2,Emergency Inpatients,Trauma and Orthopaedic Surgery,512,2628,521,3841,NHS Lanarkshire,University Hospital Wishaw
11580,2015Q3,Emergency Inpatients,Trauma and Orthopaedic Surgery,537,2060,545,3294,NHS Lanarkshire,University Hospital Wishaw
11581,2015Q4,Emergency Inpatients,Trauma and Orthopaedic Surgery,425,2244,446,3568,NHS Lanarkshire,University Hospital Wishaw
11582,2016Q1,Emergency Inpatients,Trauma and Orthopaedic Surgery,452,2689,473,4132,NHS Lanarkshire,University Hospital Wishaw
11583,2016Q2,Emergency Inpatients,Trauma and Orthopaedic Surgery,489,2191,504,3336,NHS Lanarkshire,University Hospital Wishaw
11584,2016Q3,Emergency Inpatients,Trauma and Orthopaedic Surgery,517,2163,529,3235,NHS Lanarkshire,University Hospital Wishaw
11585,2016Q4,Emergency Inpatients,Trauma and Orthopaedic Surgery,493,2027,492,2890,NHS Lanarkshire,University Hospital Wishaw
11586,2017Q1,Emergency Inpatients,Trauma and Orthopaedic Surgery,546,2353,561,3494,NHS Lanarkshire,University Hospital Wishaw
11587,2017Q2,Emergency Inpatients,Trauma and Orthopaedic Surgery,666,2774,685,4269,NHS Lanarkshire,University Hospital Wishaw
11588,2017Q3,Emergency Inpatients,Trauma and Orthopaedic Surgery,657,2482,665,3920,NHS Lanarkshire,University Hospital Wishaw
11589,2017Q4,Emergency Inpatients,Trauma and Orthopaedic Surgery,620,2521,637,3426,NHS Lanarkshire,University Hospital Wishaw
11590,2018Q1,Emergency Inpatients,Trauma and Orthopaedic Surgery,563,2283,581,3384,NHS Lanarkshire,University Hospital Wishaw
11591,2018Q2,Emergency Inpatients,Trauma and Orthopaedic Surgery,665,2540,661,3670,NHS Lanarkshire,University Hospital Wishaw
11592,2018Q3,Emergency Inpatients,Trauma and Orthopaedic Surgery,690,2726,702,4522,NHS Lanarkshire,University Hospital Wishaw
11593,2018Q4,Emergency Inpatients,Trauma and Orthopaedic Surgery,588,2544,595,3716,NHS Lanarkshire,University Hospital Wishaw
11594,2019Q1,Emergency Inpatients,Trauma and Orthopaedic Surgery,550,2131,566,3652,NHS Lanarkshire,University Hospital Wishaw
11595,2019Q2,Emergency Inpatients,Trauma and Orthopaedic Surgery,639,2675,649,3956,NHS Lanarkshire,University Hospital Wishaw
11596,2019Q3,Emergency Inpatients,Trauma and Orthopaedic Surgery,666,2840,678,4341,NHS Lanarkshire,University Hospital Wishaw
11597,2018Q4,Emergency Inpatients,Plastic Surgery,0,5,5,27,NHS Lanarkshire,University Hospital Wishaw
11598,2019Q2,Emergency Inpatients,Plastic Surgery,0,13,0,60,NHS Lanarkshire,University Hospital Wishaw
11599,2019Q3,Emergency Inpatients,Plastic Surgery,0,0,5,10,NHS Lanarkshire,University Hospital Wishaw
11600,2014Q4,Emergency Inpatients,Urology,0,5,15,111,NHS Lanarkshire,University Hospital Wishaw
11601,2015Q2,Emergency Inpatients,Urology,10,45,20,212,NHS Lanarkshire,University Hospital Wishaw
11602,2015Q3,Emergency Inpatients,Urology,5,0,20,69,NHS Lanarkshire,University Hospital Wishaw
11603,2015Q4,Emergency Inpatients,Urology,5,8,25,129,NHS Lanarkshire,University Hospital Wishaw
11604,2016Q1,Emergency Inpatients,Urology,0,0,15,75,NHS Lanarkshire,University Hospital Wishaw
11605,2016Q2,Emergency Inpatients,Urology,0,0,25,151,NHS Lanarkshire,University Hospital Wishaw
11606,2016Q3,Emergency Inpatients,Urology,0,0,25,151,NHS Lanarkshire,University Hospital Wishaw
11607,2016Q4,Emergency Inpatients,Urology,0,0,20,89,NHS Lanarkshire,University Hospital Wishaw
11608,2017Q1,Emergency Inpatients,Urology,0,5,20,158,NHS Lanarkshire,University Hospital Wishaw
11609,2017Q2,Emergency Inpatients,Urology,0,0,15,126,NHS Lanarkshire,University Hospital Wishaw
11610,2017Q3,Emergency Inpatients,Urology,0,0,20,113,NHS Lanarkshire,University Hospital Wishaw
11611,2017Q4,Emergency Inpatients,Urology,5,0,25,177,NHS Lanarkshire,University Hospital Wishaw
11612,2018Q1,Emergency Inpatients,Urology,0,0,25,118,NHS Lanarkshire,University Hospital Wishaw
11613,2018Q2,Emergency Inpatients,Urology,0,0,21,160,NHS Lanarkshire,University Hospital Wishaw
11614,2019Q1,Emergency Inpatients,Urology,0,0,20,86,NHS Lanarkshire,University Hospital Wishaw
11615,2019Q2,Emergency Inpatients,Urology,5,5,20,179,NHS Lanarkshire,University Hospital Wishaw
11616,2019Q3,Emergency Inpatients,Urology,5,0,35,225,NHS Lanarkshire,University Hospital Wishaw
11617,2019Q1,Emergency Inpatients,Intensive Care Medicine,0,5,5,10,NHS Lanarkshire,University Hospital Wishaw
11618,2019Q2,Emergency Inpatients,Intensive Care Medicine,5,7,5,7,NHS Lanarkshire,University Hospital Wishaw
11619,2019Q3,Emergency Inpatients,Intensive Care Medicine,5,15,5,25,NHS Lanarkshire,University Hospital Wishaw
11620,2016Q1,Emergency Inpatients,Clinical Radiology,0,0,5,0,NHS Lanarkshire,University Hospital Wishaw
11621,2014Q4,Emergency Inpatients,Haematology,5,12,15,255,NHS Lanarkshire,University Hospital Wishaw
11622,2015Q1,Emergency Inpatients,Haematology,0,5,10,255,NHS Lanarkshire,University Hospital Wishaw
11623,2015Q2,Emergency Inpatients,Haematology,5,17,10,245,NHS Lanarkshire,University Hospital Wishaw
11624,2015Q3,Emergency Inpatients,Haematology,0,0,5,46,NHS Lanarkshire,University Hospital Wishaw
11625,2015Q4,Emergency Inpatients,Haematology,0,5,10,148,NHS Lanarkshire,University Hospital Wishaw
11626,2016Q1,Emergency Inpatients,Haematology,5,5,10,127,NHS Lanarkshire,University Hospital Wishaw
11627,2016Q2,Emergency Inpatients,Haematology,0,0,10,125,NHS Lanarkshire,University Hospital Wishaw
11628,2016Q3,Emergency Inpatients,Haematology,0,0,10,201,NHS Lanarkshire,University Hospital Wishaw
11629,2017Q2,Emergency Inpatients,Haematology,0,0,10,141,NHS Lanarkshire,University Hospital Wishaw
11630,2017Q4,Emergency Inpatients,Haematology,5,0,10,113,NHS Lanarkshire,University Hospital Wishaw
11631,2018Q1,Emergency Inpatients,Haematology,0,0,15,303,NHS Lanarkshire,University Hospital Wishaw
11632,2018Q2,Emergency Inpatients,Haematology,25,0,35,120,NHS Lanarkshire,University Hospital Wishaw
11633,2018Q3,Emergency Inpatients,Haematology,10,0,25,154,NHS Lanarkshire,University Hospital Wishaw
11634,2018Q4,Emergency Inpatients,Haematology,25,0,35,137,NHS Lanarkshire,University Hospital Wishaw
11635,2019Q1,Emergency Inpatients,Haematology,5,0,10,50,NHS Lanarkshire,University Hospital Wishaw
11636,2019Q2,Emergency Inpatients,Haematology,0,0,5,150,NHS Lanarkshire,University Hospital Wishaw
11637,2019Q3,Emergency Inpatients,Haematology,0,5,10,183,NHS Lanarkshire,University Hospital Wishaw
11638,2014Q4,Emergency Inpatients,General Medicine,5309,10198,5371,17367,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11639,2015Q1,Emergency Inpatients,General Medicine,5335,10550,5387,17294,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11640,2015Q2,Emergency Inpatients,General Medicine,5278,9947,5315,15775,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11641,2015Q3,Emergency Inpatients,General Medicine,5218,10557,5269,17747,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11642,2015Q4,Emergency Inpatients,General Medicine,5160,9390,5202,17347,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11643,2016Q1,Emergency Inpatients,General Medicine,5013,9125,5069,21546,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11644,2016Q2,Emergency Inpatients,General Medicine,4945,8443,5016,19000,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11645,2016Q3,Emergency Inpatients,General Medicine,4988,8369,5053,19220,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11646,2016Q4,Emergency Inpatients,General Medicine,4891,9074,4988,20125,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11647,2017Q1,Emergency Inpatients,General Medicine,4977,9002,5067,20325,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11648,2017Q2,Emergency Inpatients,General Medicine,5150,8650,5222,18820,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11649,2017Q3,Emergency Inpatients,General Medicine,5230,8126,5308,18658,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11650,2017Q4,Emergency Inpatients,General Medicine,5323,8309,5359,18177,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11651,2018Q1,Emergency Inpatients,General Medicine,5122,7904,5216,20439,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11652,2018Q2,Emergency Inpatients,General Medicine,4876,7794,4970,18146,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11653,2018Q3,Emergency Inpatients,General Medicine,4805,7881,4842,17397,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11654,2018Q4,Emergency Inpatients,General Medicine,4995,8113,5062,19068,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11655,2019Q1,Emergency Inpatients,General Medicine,4972,7726,5064,18724,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11656,2019Q2,Emergency Inpatients,General Medicine,5369,7357,5473,20647,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11657,2019Q3,Emergency Inpatients,General Medicine,5371,7138,5554,19309,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11658,2014Q4,Emergency Inpatients,Cardiology,492,1104,564,2461,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11659,2015Q1,Emergency Inpatients,Cardiology,482,1145,543,2535,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11660,2015Q2,Emergency Inpatients,Cardiology,520,1239,577,2598,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11661,2015Q3,Emergency Inpatients,Cardiology,541,1155,577,2278,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11662,2015Q4,Emergency Inpatients,Cardiology,447,1014,531,2527,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11663,2016Q1,Emergency Inpatients,Cardiology,462,862,524,2504,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11664,2016Q2,Emergency Inpatients,Cardiology,472,1048,535,2765,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11665,2016Q3,Emergency Inpatients,Cardiology,451,1018,520,2398,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11666,2016Q4,Emergency Inpatients,Cardiology,457,986,546,2704,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11667,2017Q1,Emergency Inpatients,Cardiology,468,1059,567,2698,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11668,2017Q2,Emergency Inpatients,Cardiology,472,1070,537,2176,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11669,2017Q3,Emergency Inpatients,Cardiology,463,1065,563,2244,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11670,2017Q4,Emergency Inpatients,Cardiology,511,1091,585,2405,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11671,2018Q1,Emergency Inpatients,Cardiology,549,1119,630,2592,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11672,2018Q2,Emergency Inpatients,Cardiology,488,1050,570,2506,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11673,2018Q3,Emergency Inpatients,Cardiology,498,1047,605,2730,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11674,2018Q4,Emergency Inpatients,Cardiology,493,1035,575,2284,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11675,2019Q1,Emergency Inpatients,Cardiology,440,896,518,2385,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11676,2019Q2,Emergency Inpatients,Cardiology,466,942,564,2371,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11677,2019Q3,Emergency Inpatients,Cardiology,455,879,592,2509,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11678,2017Q3,Emergency Inpatients,Infectious Diseases,0,0,35,410,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11679,2016Q1,Emergency Inpatients,Endocrinology & Diabetes,5,5,51,243,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11680,2016Q2,Emergency Inpatients,Endocrinology & Diabetes,5,61,59,252,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11681,2016Q3,Emergency Inpatients,Endocrinology & Diabetes,0,10,55,339,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11682,2016Q4,Emergency Inpatients,Endocrinology & Diabetes,10,75,67,352,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11683,2017Q1,Emergency Inpatients,Endocrinology & Diabetes,10,45,55,326,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11684,2017Q2,Emergency Inpatients,Endocrinology & Diabetes,5,65,64,480,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11685,2017Q3,Emergency Inpatients,Endocrinology & Diabetes,5,43,80,511,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11686,2017Q4,Emergency Inpatients,Endocrinology & Diabetes,0,25,58,388,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11687,2018Q1,Emergency Inpatients,Endocrinology & Diabetes,5,56,66,362,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11688,2018Q2,Emergency Inpatients,Endocrinology & Diabetes,5,22,55,276,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11689,2018Q3,Emergency Inpatients,Endocrinology & Diabetes,0,0,70,393,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11690,2018Q4,Emergency Inpatients,Endocrinology & Diabetes,5,7,70,328,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11691,2019Q1,Emergency Inpatients,Endocrinology & Diabetes,5,11,67,446,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11692,2019Q2,Emergency Inpatients,Endocrinology & Diabetes,0,29,50,355,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11693,2019Q3,Emergency Inpatients,Endocrinology & Diabetes,5,27,60,557,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11694,2014Q4,Emergency Inpatients,Gastroenterology,77,191,253,1813,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11695,2015Q1,Emergency Inpatients,Gastroenterology,65,198,276,1772,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11696,2015Q2,Emergency Inpatients,Gastroenterology,46,105,259,2039,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11697,2015Q3,Emergency Inpatients,Gastroenterology,63,203,258,2283,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11698,2015Q4,Emergency Inpatients,Gastroenterology,77,175,257,1629,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11699,2016Q1,Emergency Inpatients,Gastroenterology,57,190,242,1853,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11700,2016Q2,Emergency Inpatients,Gastroenterology,40,100,253,1724,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11701,2016Q3,Emergency Inpatients,Gastroenterology,44,120,245,1833,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11702,2016Q4,Emergency Inpatients,Gastroenterology,57,165,275,2073,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11703,2017Q1,Emergency Inpatients,Gastroenterology,64,154,285,1931,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11704,2017Q2,Emergency Inpatients,Gastroenterology,58,115,265,1992,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11705,2017Q3,Emergency Inpatients,Gastroenterology,84,215,288,1593,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11706,2017Q4,Emergency Inpatients,Gastroenterology,66,180,315,1863,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11707,2018Q1,Emergency Inpatients,Gastroenterology,70,190,283,1822,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11708,2018Q2,Emergency Inpatients,Gastroenterology,55,194,251,2210,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11709,2018Q3,Emergency Inpatients,Gastroenterology,60,195,279,2241,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11710,2018Q4,Emergency Inpatients,Gastroenterology,54,156,264,2090,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11711,2019Q1,Emergency Inpatients,Gastroenterology,55,150,245,1802,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11712,2019Q2,Emergency Inpatients,Gastroenterology,70,145,318,1918,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11713,2019Q3,Emergency Inpatients,Gastroenterology,56,163,253,1771,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11714,2014Q4,Emergency Inpatients,Geriatric Medicine,10,110,994,28445,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11715,2015Q1,Emergency Inpatients,Geriatric Medicine,10,93,1003,28983,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11716,2015Q2,Emergency Inpatients,Geriatric Medicine,11,109,985,28591,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11717,2015Q3,Emergency Inpatients,Geriatric Medicine,15,254,889,28682,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11718,2015Q4,Emergency Inpatients,Geriatric Medicine,20,220,950,24795,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11719,2016Q1,Emergency Inpatients,Geriatric Medicine,5,74,904,27440,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11720,2016Q2,Emergency Inpatients,Geriatric Medicine,10,60,945,26639,NHS Lothian,Royal Infirmary of Edinburgh at Little France
11721,2016Q3,Emergency Inpatients,Geriatric Medicine,5,23,880,25409,NHS Lothian,Royal Infirmary of Edinburgh at Little France
